Sum of Payroll Tax - Eligible,Column Labels,,,,,,,,,,,,,
Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,(blank), Grand Total 
SCHM,0,,,0,,,0,,,0,,,, -   
SCOC,0,,,0,,,0,,,0,,,, -   
SHED,0,,,0,,,,,,,0,,, -   
SHEJ,0,,,0,,,,,,,0,,, -   
SICS,0,,,0,,,0,,,0,,,, -   
SL,7788.83,7292.59,3497.17,59839.44,8191.98,10214.99,10733.19,3240.97,1395.95,5838.63,5472.53,5312.01,," 128,818.28 "
STEM,0,,,0,,,,,,,,,, -   
STES,0,,,0,,,0,,,0,,,, -   
SUAK,0,,,0,,,0,,,0,,,, -   
SUTJ,0,,,0,,,0,,,0,,,, -   
SZIR,0,,,0,,,0,,,0,,,, -   
TAFE,4724.76,14653.98,624,15936.68,6243.2,2759.58,21509.04,,,19354.69,4773,,," 90,578.93 "
TAPR,,,,0,,,,,,,,,, -   
TAYC(2),0,,,0,,,0,,,0,,,, -   
TOTK,0,,,0,,,0,,,0,,,, -   
TOTM,0,,,0,,,0,,,0,,,, -   
VEHICLE,0,,,0,,,0,,,0,,,, -   
VERJ,0,,,0,,,,,,,,,, -   
VERR,0,,,0,,,0,,,0,,,, -   
WALJ,0,,,0,,,0,,,0,,,, -   
WALS,,0,,0,,,,,,,,,, -   
WATR,,0,,0,,,,,,,,,, -   
WCOMP,,130.72,,,,,,,,,,,, 130.72 
WCOMP-EX,,572,316.54,,1275.92,,,,,,,,," 2,164.46 "
WILR,0,,,0,,,0,,,0,,,, -   
WOOL,0,,,0,,,0,,,0,,,, -   
WOOP,0,,,0,,,0,,,0,,,, -   
WRIL,,,0,0,,,,,,,,,, -   
WRKDJ,,0,,,,,,,,,,,, -   
YOUJ,0,,,0,,,,,,,,0,, -   
ZYSL,0,,,0,,,0,,,0,,,, -   
(blank),,,,,,,,,,,,,,
Grand Total,1613881.44,73659.46,15161.37,1856255.08,57241.22,86938.98,1506569.16,40969.02,27521.96,1429401.19,53953.54,166746.05,," 6,928,298.47 "
